"tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"tt0065513","tvShort","La cabina","La cabina",0,1972,NULL,35,"Drama,Horror,Short"
"tt0066232","tvShort","Police Film","Polizeifilm",0,1969,NULL,12,"Short"
"tt0067247","tvShort","Die industrielle Reservearmee","Die industrielle Reservearmee",0,1971,NULL,36,"Documentary,Short"
"tt0067288","tvShort","Kamarádi","Kamarádi",0,1971,NULL,41,"Drama,Short"
"tt0067587","tvShort","Play It Again, Charlie Brown","Play It Again, Charlie Brown",0,1971,NULL,24,"Animation,Comedy,Family"
"tt0068359","tvShort","A Charlie Brown Thanksgiving","A Charlie Brown Thanksgiving",0,1973,NULL,25,"Animation,Comedy,Family"
"tt0068373","tvShort","A Christmas Carol","A Christmas Carol",0,1971,NULL,28,"Animation,Drama,Family"
"tt0069525","tvShort","You're Not Elected, Charlie Brown","You're Not Elected, Charlie Brown",0,1972,NULL,24,"Animation,Comedy,Family"
"tt0069927","tvShort","A Cricket in the City","The Cricket in Times Square",0,1973,NULL,24,"Adventure,Animation,Comedy"
"tt0070408","tvShort","Monologue","Monologue",0,1973,NULL,20,"Drama,Short"
"tt0070793","tvShort","There's No Time for Love, Charlie Brown","There's No Time for Love, Charlie Brown",0,1973,NULL,24,"Animation,Comedy,Family"
"tt0071678","tvShort","It's a Mystery, Charlie Brown","It's a Mystery, Charlie Brown",0,1974,NULL,24,"Animation,Comedy,Family"
"tt0071679","tvShort","It's the Easter Beagle, Charlie Brown!","It's the Easter Beagle, Charlie Brown!",0,1974,NULL,30,"Animation,Comedy,Family"
"tt0072687","tvShort","Be My Valentine, Charlie Brown","Be My Valentine, Charlie Brown",0,1975,NULL,25,"Animation,Comedy,Family"
"tt0073922","tvShort","You're a Good Sport, Charlie Brown","You're a Good Sport, Charlie Brown",0,1975,NULL,24,"Animation,Comedy,Family"
"tt0074183","tvShort","Bariera","Bariera",0,1976,NULL,17,"Documentary,Short"
"tt0074283","tvShort","Bugs and Daffy's Carnival of the Animals","Carnival of the Animals",0,1976,NULL,23,"Animation,Comedy,Family"
"tt0074697","tvShort","It's Arbor Day, Charlie Brown","It's Arbor Day, Charlie Brown",0,1976,NULL,24,"Animation,Comedy,Family"
"tt0074805","tvShort","The Little Drummer Boy Book II","The Little Drummer Boy Book II",0,1976,NULL,30,"Adventure,Animation,Drama"
"tt0075158","tvShort","Rückkehr nach Unholzing","Rückkehr nach Unholzing",0,1976,NULL,43,"Documentary,Short"
"tt0075234","tvShort","Smak muzyki","Smak muzyki",0,1976,NULL,NULL,"Short"
"tt0076217","tvShort","It's Your First Kiss, Charlie Brown","It's Your First Kiss, Charlie Brown",0,1977,NULL,24,"Animation,Comedy,Family"
"tt0076911","tvShort","What a Nightmare, Charlie Brown!","What a Nightmare, Charlie Brown!",0,1978,NULL,30,"Animation,Comedy,Drama"
"tt0077365","tvShort","Bugs Bunny in King Arthur's Court","A Connecticut Rabbit in King Arthur's Court",0,1978,NULL,25,"Adventure,Animation,Comedy"
"tt0078914","tvShort","Bugs Bunny's Christmas Carol","Bugs Bunny's Christmas Carol",0,1979,NULL,8,"Animation,Comedy,Family"
"tt0079174","tvShort","Freeze Frame","Freeze Frame",0,1979,NULL,6,"Animation,Comedy,Family"
"tt0079179","tvShort","Fright Before Christmas","Fright Before Christmas",0,1979,NULL,7,"Animation,Comedy,Family"
"tt0080161","tvShort","You're the Greatest, Charlie Brown","You're the Greatest, Charlie Brown",0,1979,NULL,24,"Animation,Comedy,Family"
"tt0080587","tvShort","Daffy Flies North","Daffy Flies North",0,1980,NULL,7,"Animation,Comedy,Family"
"tt0080663","tvShort","Duck Dodgers and the Return of the 24½th Century","Duck Dodgers and the Return of the 24½th Century",0,1980,NULL,6,"Animation,Comedy,Family"
"tt0081293","tvShort","Dorothy in the Land of Oz","Thanksgiving in the Land of Oz",0,1980,NULL,25,"Animation,Comedy,Family"
"tt0081361","tvShort","Portrait of the Artist as a Young Bunny","Portrait of the Artist as a Young Bunny",0,1980,NULL,7,"Animation,Comedy,Family"
"tt0081540","tvShort","Soup or Sonic","Soup or Sonic",0,1980,NULL,9,"Animation,Comedy,Family"
"tt0081543","tvShort","Spaced Out Bunny","Spaced Out Bunny",0,1980,NULL,6,"Animation,Comedy,Family"
"tt0081791","tvShort","The Yolks on You","The Yolks on You",0,1980,NULL,7,"Animation,Comedy,Family"
"tt0083905","tvShort","Etyud dlya domino s royalem","Etyud dlya domino s royalem",0,1982,NULL,20,"Comedy,Short"
"tt0084701","tvShort","The Snowman","The Snowman",0,1982,NULL,26,"Animation,Family,Fantasy"
"tt0087234","tvShort","Family Business: Chantal Akerman Speaks About Film","Family Business: Chantal Akerman Speaks About Film",0,1984,NULL,18,"Short"
"tt0087454","tvShort","Idalina","Idalina",0,1984,NULL,10,"Short"
"tt0087614","tvShort","Lettre d'un cinéaste: Chantal Akerman","Lettre d'un cinéaste: Chantal Akerman",0,1984,NULL,18,"Short"
"tt0087893","tvShort","Passeggeri","Passeggeri",0,1984,NULL,10,"Short"
"tt0088360","tvShort","Vocazione","Vocazione",0,1984,NULL,10,"Short"
"tt0088453","tvShort","Zloy malchik","Zloy malchik",0,1984,NULL,19,"Drama,Short"
"tt0088651","tvShort","6 Mina","6 Mina",0,1985,NULL,10,"Short"
"tt0088877","tvShort","Camera oscura","Camera oscura",0,1985,NULL,10,"Short"
"tt0090059","tvShort","La squadra del lunedì","La squadra del lunedì",0,1985,NULL,10,"Short"
"tt0093961","tvShort","The Short & Curlies","The Short & Curlies",0,1987,NULL,17,"Comedy,Short"
"tt0096736","tvShort","13 Minuten vor zwölf in Lima","13 Minuten vor zwölf in Lima",0,1989,NULL,13,"Documentary,Short"
"tt0098200","tvShort","Revolutionary Witness: The Preacher","Revolutionary Witness: The Preacher",0,1989,NULL,20,"Short"
"tt0099702","tvShort","La griffe d'Horus","La griffe d'Horus",0,1990,NULL,3,"Short"
"tt0100638","tvShort","Slow Bob in the Lower Dimensions","Slow Bob in the Lower Dimensions",0,1991,NULL,6,"Adventure,Animation,Horror"
"tt0100716","tvShort","Sunday Pursuit","Sunday Pursuit",0,1990,NULL,26,"Drama,Romance,Short"
"tt0103272","tvShort","A Wish for Wings That Work","A Wish for Wings That Work",0,1991,NULL,22,"Adventure,Animation,Comedy"
"tt0104197","tvShort","Entre Mortos e Vivos","Entre Mortos e Vivos",0,1992,NULL,26,"Comedy,Short"
"tt0104534","tvShort","It's Christmastime Again, Charlie Brown","It's Christmastime Again, Charlie Brown",0,1992,NULL,23,"Animation,Comedy,Family"
"tt0104564","tvShort","Joe's Apt.","Joe's Apt.",0,1992,NULL,2,"Comedy,Short"
"tt0104664","tvShort","Ladrão Que Rouba a Anão Tem Cem Anos de Prisão","Ladrão Que Rouba a Anão Tem Cem Anos de Prisão",0,1992,NULL,27,"Comedy,Short"
"tt0104910","tvShort","Monster in My Pocket: The Big Scream","Monster in My Pocket: The Big Scream",0,1992,NULL,23,"Adventure,Animation,Comedy"
"tt0105225","tvShort","A Reconstrução","A Reconstrução",0,1992,NULL,27,"Drama,Short"
"tt0105234","tvShort","Requiem para um Narciso","Requiem para um Narciso",0,1992,NULL,31,"Short"
"tt0105302","tvShort","S.O.S. Stress","S.O.S. Stress",0,1992,NULL,29,"Comedy,Short"
"tt0105765","tvShort","Viuvez Secreta","Viuvez Secreta",0,1992,NULL,30,"Drama,Short"
"tt0105830","tvShort","The Witness","The Witness",0,1993,NULL,19,"Drama,Short"
"tt0106757","tvShort","Dottie Gets Spanked","Dottie Gets Spanked",0,1993,NULL,30,"Comedy,Drama,Short"
"tt0106973","tvShort","Frosty Returns","Frosty Returns",0,1992,NULL,24,"Animation,Family,Fantasy"
"tt0108381","tvShort","Traveler's Rest","Traveler's Rest",0,1993,NULL,NULL,"Short"
"tt0109709","tvShort","Edith Ann: A Few Pieces of the Puzzle","Edith Ann: A Few Pieces of the Puzzle",0,1994,NULL,NULL,"Animation,Comedy,Family"
"tt0111306","tvShort","Suchen","Suchen",0,1994,NULL,13,"Drama,Short"
"tt0111736","tvShort","Witness","Witness",0,1994,NULL,7,"Short"
"tt0111933","tvShort","Daisy-Head Mayzie","Daisy-Head Mayzie",0,1995,NULL,22,"Animation,Family,Short"
"tt0112678","tvShort","Cinematographie Lumière","Cinematographie Lumière",0,1995,NULL,NULL,"Documentary,Short"
"tt0113831","tvShort","The Mitzvah","The Mitzvah",0,1995,NULL,NULL,"Comedy,Short"
"tt0114215","tvShort","Quiet","Quiet",0,1995,NULL,NULL,"Short"
"tt0114827","tvShort","A velemi vízimalom","A velemi vízimalom",0,1995,NULL,20,"Short"
"tt0114828","tvShort","Velika potraga","Velika potraga",0,1995,NULL,NULL,"Drama,Fantasy,Short"
"tt0115824","tvShort","Luenapperen","Luenapperen",0,1996,NULL,NULL,"Short"
"tt0116543","tvShort","Holed","Holed",0,1996,NULL,47,"Comedy,Drama,Short"
"tt0116895","tvShort","A Little Off the Top","A Little Off the Top",0,1996,NULL,NULL,"Comedy,Short"
"tt0118999","tvShort","Dog","Dog",0,1997,NULL,NULL,"Drama,Horror,Short"
"tt0121024","tvShort","BBC Future Generations","BBC Future Generations",0,1998,NULL,3,"Animation,Family,Short"
"tt0121210","tvShort","Dinner for One","Der 90. Geburtstag oder Dinner for One",0,1963,NULL,18,"Comedy,Short"
"tt0121282","tvShort","Fifteenth Phase of the Moon","Fifteenth Phase of the Moon",0,1992,NULL,NULL,"Short"
"tt0121300","tvShort","The Friend","Przyjaciel",0,1965,NULL,18,"Sci-Fi,Short"
"tt0122017","tvShort","The Chocolate Chase","The Chocolate Chase",0,1980,NULL,6,"Animation,Comedy,Family"
"tt0122244","tvShort","Scrooge's Rock 'N' Roll Christmas","Scrooge's Rock 'N' Roll Christmas",0,1984,NULL,44,"Musical"
"tt0123048","tvShort","Het drukke leven van een kleine uitgever","Het drukke leven van een kleine uitgever",0,1994,NULL,14,"Short"
"tt0123099","tvShort","Happy New Year, Charlie Brown","Happy New Year, Charlie Brown",0,1986,NULL,24,"Animation,Comedy,Family"
"tt0123119","tvShort","Is This Goodbye, Charlie Brown?","Is This Goodbye, Charlie Brown?",0,1983,NULL,24,"Animation,Comedy,Family"
"tt0123322","tvShort","What Have We Learned, Charlie Brown?","What Have We Learned, Charlie Brown?",0,1983,NULL,23,"Animation,Comedy,Family"
"tt0123325","tvShort","Why, Charlie Brown, Why?","Why, Charlie Brown, Why?",0,1990,NULL,22,"Animation,Comedy,Drama"
"tt0123340","tvShort","Aliens Next Door","Aliens Next Door",0,1989,NULL,21,"Animation,Comedy,Family"
"tt0123869","tvShort","Going, Going, Almost Gone! Animals in Danger","Going, Going, Almost Gone! Animals in Danger",0,1995,NULL,33,"Documentary,Family,History"
"tt0124013","tvShort","Mr. Willowby's Christmas Tree","Mr. Willowby's Christmas Tree",0,1995,NULL,30,"Comedy,Family,Musical"
"tt0126101","tvShort","That Sunday","That Sunday",0,1994,NULL,16,"Comedy,Romance,Short"
"tt0128260","tvShort","How Do You Spell God?","How Do You Spell God?",0,1996,NULL,32,"Animation,Family,History"
"tt0128636","tvShort","Subbota i voskreseniye","Subbota i voskreseniye",0,1988,NULL,18,"Family,Short"
"tt0133962","tvShort","Men of Crisis: The Harvey Wallinger Story","Men of Crisis: The Harvey Wallinger Story",0,1972,NULL,25,"Comedy,Short"
"tt0134628","tvShort","Dr. Seuss on the Loose","Dr. Seuss on the Loose",0,1973,NULL,25,"Animation,Comedy,Family"
"tt0134869","tvShort","The Online Adventures of Ozzie the Elf","The Online Adventures of Ozzie the Elf",0,1997,NULL,22,"Adventure,Animation,Comedy"
"tt0135640","tvShort","Santa vs. the Snowman","Santa vs. the Snowman",0,1997,NULL,21,"Animation,Short"
"tt0137390","tvShort","Blackadder: The Cavalier Years","Blackadder: The Cavalier Years",0,1988,NULL,15,"Comedy,History,Short"
"tt0138844","tvShort","Svenska färger","Svenska färger",0,1981,NULL,3,"Documentary,Short"
"tt0139796","tvShort","The Rosey & Buddy Show","The Rosey & Buddy Show",0,1992,NULL,23,"Adventure,Animation,Comedy"
"tt0147819","tvShort","Achille","Achille",0,1975,NULL,5,"Animation,Short"
"tt0147838","tvShort","La Andalucía de Juan Ramón","La Andalucía de Juan Ramón",0,1967,NULL,NULL,"Documentary,Short"
"tt0148109","tvShort","Los episodios nacionales","Los episodios nacionales",0,1967,NULL,NULL,"Documentary,Short"
"tt0148200","tvShort","Galicia y Valle Inclán","Galicia y Valle Inclán",0,1967,NULL,NULL,"Documentary,Short"
"tt0148359","tvShort","The Joint","The Joint",0,1968,NULL,15,"Short"
"tt0148577","tvShort","Pamplona en Hemingway","Pamplona en Hemingway",0,1967,NULL,NULL,"Documentary,Short"
"tt0148587","tvShort","El País Vasco de Pío Baroja","El País Vasco de Pío Baroja",0,1967,NULL,NULL,"Documentary,Short"
"tt0148635","tvShort","The Pretty Things","The Pretty Things",0,1969,NULL,20,"Documentary,Music,Short"
"tt0149321","tvShort","Vacaciones imprevistas","Vacaciones imprevistas",0,1967,NULL,13,"Short"
"tt0149322","tvShort","Valencia de Blasco Ibáñez","Valencia de Blasco Ibáñez",0,1967,NULL,NULL,"Documentary,Short"
"tt0149405","tvShort","Ávila mística de Santa Teresa","Ávila mística de Santa Teresa",0,1967,NULL,NULL,"Short"
"tt0151157","tvShort","Juhu","Juhu",0,1973,NULL,NULL,"Documentary,Short"
"tt0153646","tvShort","Wapas Chalo","Wapas Chalo",0,1984,NULL,NULL,"Short"
"tt0154129","tvShort","Cartoon All-Stars to the Rescue","Cartoon All-Stars to the Rescue",0,1990,NULL,30,"Adventure,Animation,Comedy"
"tt0154203","tvShort","Banjo the Woodpile Cat","Banjo the Woodpile Cat",0,1979,NULL,29,"Animation,Comedy,Family"
"tt0155287","tvShort","Tráiler para amantes de lo prohibido","Tráiler para amantes de lo prohibido!",0,1985,NULL,17,"Short"
"tt0155406","tvShort","Zalacaín, el aventurero","Zalacaín, el aventurero",0,1968,NULL,NULL,"Documentary,Short"
"tt0155568","tvShort","Bugs Bunny in Space","Bugs Bunny in Space",0,1977,NULL,30,"Animation,Comedy,Family"
"tt0155569","tvShort","Bugs Bunny's Mad World of Television","Bugs Bunny's Mad World of Television",0,1982,NULL,23,"Animation,Comedy,Family"
"tt0155572","tvShort","Bugs Bunny's Wild World of Sports","Bugs Bunny's Wild World of Sports",0,1989,NULL,24,"Adventure,Animation,Comedy"
"tt0155573","tvShort","Bugs Bunny: All American Hero","Bugs Bunny: All American Hero",0,1981,NULL,30,"Adventure,Animation,Family"
"tt0157282","tvShort","A bordo de un buque de la Armada Española I","A bordo de un buque de la Armada Española I",0,1969,NULL,NULL,"Documentary,Short"
"tt0157283","tvShort","A bordo de un buque de la Armada Española II","A bordo de un buque de la Armada Española II",0,1969,NULL,NULL,"Documentary,Short"
"tt0157308","tvShort","Amestoy con vosotros: Fincas","Amestoy con vosotros: Fincas",0,1969,NULL,NULL,"Documentary,Short"
"tt0157309","tvShort","Amestoy con vosotros: Número 8","Amestoy con vosotros: Número 8",0,1969,NULL,NULL,"Documentary,Short"
"tt0157575","tvShort","En busca de Santiago Rusiñol","En busca de Santiago Rusiñol",0,1969,NULL,NULL,"Documentary,Short"
"tt0158965","tvShort","Smakeloos","Smakeloos",0,1997,NULL,17,"Short"
"tt0159142","tvShort","You're in the Super Bowl, Charlie Brown!","You're in the Super Bowl, Charlie Brown!",0,1994,NULL,25,"Animation,Comedy,Family"
"tt0159541","tvShort","M. le maudit","M. le maudit",0,1982,NULL,13,"Short"
"tt0160641","tvShort","Parnjaca","Parnjaca",0,1979,NULL,18,"Short"
"tt0161779","tvShort","Het maken van 'Mis je zo' - de videoclip","Het maken van 'Mis je zo' - de videoclip",0,1998,NULL,12,"Music,Short"
"tt0162295","tvShort","Dr. Ruth's House","Dr. Ruth's House",0,1990,NULL,30,"Comedy"
"tt0162461","tvShort","The Making of 'Blade Runner'","The Making of 'Blade Runner'",0,1997,NULL,7,"Documentary,Short"
"tt0162636","tvShort","The Secrets of the Back to the Future Trilogy","The Secrets of the Back to the Future Trilogy",0,1990,NULL,21,"Documentary,Short"
"tt0163083","tvShort","The Making of 'Guardians of Destiny'","The Making of 'Guardians of Destiny'",0,1997,NULL,9,"Documentary,Short"
"tt0163297","tvShort","The Storm","The Storm",0,1996,NULL,NULL,"Horror,Short"
"tt0163558","tvShort","Boo to You Too! Winnie the Pooh","Boo to You Too! Winnie the Pooh",0,1996,NULL,21,"Animation,Comedy,Family"
"tt0163694","tvShort","Kammesjukjul","Kammesjukjul",0,1978,NULL,40,"Drama,Short"
"tt0165472","tvShort","Shona May","Shona May",0,1988,NULL,NULL,"Short"
"tt0166203","tvShort","Garfield Goes Hollywood","Garfield Goes Hollywood",0,1987,NULL,25,"Adventure,Animation,Comedy"
"tt0166204","tvShort","Garfield in Paradise","Garfield in Paradise",0,1986,NULL,24,"Adventure,Animation,Comedy"
"tt0166205","tvShort","Garfield in the Rough","Garfield in the Rough",0,1984,NULL,30,"Adventure,Animation,Comedy"
"tt0166218","tvShort","Here Comes Garfield","Here Comes Garfield",0,1982,NULL,24,"Adventure,Animation,Comedy"
"tt0166333","tvShort","Rött vin i gröna glas","Rött vin i gröna glas",0,1970,NULL,20,"Short"
"tt0168447","tvShort","Achilles Is a Heel","Achilles Is a Heel",0,1963,NULL,5,"Animation,Short"
"tt0168466","tvShort","Arabian Daze","Arabian Daze",0,1963,NULL,5,"Animation,Short"
"tt0168468","tvShort","Arty Party","Arty Party",0,1963,NULL,5,"Animation,Short"
"tt0168471","tvShort","The Atom Boom","The Atom Boom",0,1967,NULL,5,"Animation,Short"
"tt0168474","tvShort","Baby Face","Baby Face",0,1962,NULL,5,"Animation,Short"
"tt0168477","tvShort","Backwards Box","Backwards Box",0,1967,NULL,5,"Animation,Short"
"tt0168479","tvShort","The Baffling Bluffs of Hugo a Go-Go","The Baffling Bluffs of Hugo a Go-Go",0,1967,NULL,5,"Animation,Short"
"tt0168481","tvShort","Balloon Blues","Balloon Blues",0,1962,NULL,5,"Animation,Short"
"tt0168488","tvShort","Bat Patrol","Bat Patrol",0,1967,NULL,5,"Animation,Short"
"tt0168489","tvShort","Batfink on the Rocks","Batfink on the Rocks",0,1967,NULL,5,"Animation,Short"
"tt0168490","tvShort","Batfink: This Is Your Life","Batfink: This Is Your Life",0,1967,NULL,5,"Animation,Short"
"tt0168494","tvShort","Beanstalk Jack","Beanstalk Jack",0,1967,NULL,5,"Animation,Short"
"tt0168498","tvShort","The Beep Bopper","The Beep Bopper",0,1967,NULL,5,"Animation,Short"
"tt0168505","tvShort","The Big Bank Robbery","The Big Bank Robbery",0,1962,NULL,5,"Animation,Short"
"tt0168507","tvShort","Big Ears Ernie","Big Ears Ernie",0,1967,NULL,5,"Animation,Short"
"tt0168519","tvShort","Blankenstein","Blankenstein",0,1967,NULL,5,"Animation,Short"
"tt0168523","tvShort","Bluebeard's Treasure","Bluebeard's Treasure",0,1962,NULL,5,"Animation,Short"
"tt0168524","tvShort","Blunder Down Under","Blunder Down Under",0,1963,NULL,5,"Animation,Short"
"tt0168528","tvShort","Bomb-y Weather","Bomb-y Weather",0,1963,NULL,5,"Animation,Short"
"tt0168530","tvShort","The Bomber Bird","The Bomber Bird",0,1967,NULL,5,"Animation,Short"
"tt0168535","tvShort","Bouncey Bouncey Batfink","Bouncey Bouncey Batfink",0,1967,NULL,5,"Animation,Short"
"tt0168536","tvShort","Bowl Brummel","Bowl Brummel",0,1967,NULL,5,"Animation,Short"
"tt0168539","tvShort","Boy Pest with Osh","Boy Pest with Osh",0,1963,NULL,5,"Animation,Short"
"tt0168540","tvShort","Brain Washday","Brain Washday",0,1967,NULL,5,"Animation,Short"
"tt0168543","tvShort","Bride and Doom","Bride and Doom",0,1967,NULL,5,"Animation,Short"
"tt0168547","tvShort","Brother Goose","Brother Goose",0,1967,NULL,5,"Animation,Short"
"tt0168554","tvShort","Buster the Ruster","Buster the Ruster",0,1967,NULL,5,"Animation,Short"
"tt0168579","tvShort","The Chocolate Covered Diamond","The Chocolate Covered Diamond",0,1967,NULL,5,"Animation,Short"
"tt0168586","tvShort","Cinderobber","Cinderobber",0,1967,NULL,5,"Animation,Short"
"tt0168591","tvShort","The Cliff Hanger","The Cliff Hanger",0,1963,NULL,5,"Animation,Short"
"tt0168600","tvShort","Comic Book Capers","Comic Book Capers",0,1963,NULL,5,"Animation,Short"
"tt0168601","tvShort","Comic Strip","Comic Strip",0,1962,NULL,5,"Animation,Short"
"tt0168606","tvShort","The Copycat Bat","The Copycat Bat",0,1967,NULL,5,"Animation,Short"
"tt0168616","tvShort","Crime College","Crime College",0,1967,NULL,5,"Animation,Short"
"tt0168618","tvShort","Crimes in Rhymes","Crimes in Rhymes",0,1967,NULL,5,"Animation,Short"
"tt0168621","tvShort","Crumby Mummy","Crumby Mummy",0,1966,NULL,5,"Animation,Short"
"tt0168625","tvShort","Curly the Cannonball","Curly the Cannonball",0,1967,NULL,5,"Animation,Short"
"tt0168630","tvShort","Daniel Boom","Daniel Boom",0,1967,NULL,5,"Animation,Short"
"tt0168646","tvShort","The Devilish Device","The Devilish Device",0,1967,NULL,5,"Animation,Short"
"tt0168657","tvShort","Dig That Crazy Mountain","Dig That Crazy Mountain",0,1967,NULL,5,"Animation,Short"
"tt0168667","tvShort","The Dirty Sinker","The Dirty Sinker",0,1967,NULL,5,"Animation,Short"
"tt0168673","tvShort","A Dog Gone Snooper","A Dog Gone Snooper",0,1963,NULL,5,"Animation,Short"
"tt0168705","tvShort","Double Double Crossers","Double Double Crossers",0,1967,NULL,5,"Animation,Short"
"tt0168707","tvShort","Down to Earth","Down to Earth",0,1963,NULL,5,"Animation,Short"
"tt0168724","tvShort","Ebenezer the Freezer","Ebenezer the Freezer",0,1967,NULL,5,"Animation,Short"
"tt0168726","tvShort","The Egg and Me","The Egg and Me",0,1962,NULL,5,"Animation,Short"
"tt0168727","tvShort","Ego A-Go-Go","Ego A-Go-Go",0,1967,NULL,5,"Animation,Short"
"tt0168738","tvShort","Enchanted Prince","Enchanted Prince",0,1963,NULL,5,"Animation,Short"
"tt0168745","tvShort","Extra Special Delivery","Extra Special Delivery",0,1963,NULL,5,"Animation,Short"
"tt0168747","tvShort","The Fan Letter","The Fan Letter",0,1963,NULL,5,"Animation,Short"
"tt0168750","tvShort","Fastest Popgun in the West","Fastest Popgun in the West",0,1962,NULL,5,"Animation,Short"
"tt0168753","tvShort","Father Time Bomb","Father Time Bomb",0,1967,NULL,5,"Animation,Short"
"tt0168754","tvShort","Fatman Strikes Again","Fatman Strikes Again",0,1967,NULL,5,"Animation,Short"
"tt0168757","tvShort","Fearless Female","Fearless Female",0,1963,NULL,5,"Animation,Short"
"tt0168792","tvShort","A Fishy Story","A Fishy Story",0,1962,NULL,5,"Animation,Short"
"tt0168795","tvShort","Fleiderfink","Fleiderfink",0,1967,NULL,5,"Animation,Short"
"tt0168799","tvShort","Flying Saucery","Flying Saucery",0,1962,NULL,5,"Animation,Short"
"tt0168800","tvShort","Footloose Fox","Footloose Fox",0,1963,NULL,5,"Animation,Short"
"tt0168802","tvShort","Fort Fangenstein","Fort Fangenstein",0,1966,NULL,5,"Animation,Short"
"tt0168816","tvShort","Funnyland","Funnyland",0,1963,NULL,5,"Animation,Short"
"tt0168821","tvShort","Gigantical","Gigantical",0,1962,NULL,5,"Animation,Short"
"tt0168824","tvShort","Gloves on the Go Go","Gloves on the Go Go",0,1967,NULL,5,"Animation,Short"
"tt0168825","tvShort","Gluey Louie","Gluey Louie",0,1967,NULL,5,"Animation,Short"
"tt0168826","tvShort","Go Fly a Bat","Go Fly a Bat",0,1967,NULL,5,"Animation,Short"
"tt0168829","tvShort","Goldstinger","Goldstinger",0,1967,NULL,5,"Animation,Short"
"tt0168830","tvShort","Goldyunlocks and the Three Bears","Goldyunlocks and the Three Bears",0,1967,NULL,5,"Animation,Short"
"tt0168831","tvShort","Gone Hollywood","Gone Hollywood",0,1963,NULL,5,"Animation,Short"
"tt0168832","tvShort","Goo-Goo a Go-Go","Goo-Goo a Go-Go",0,1967,NULL,5,"Animation,Short"
"tt0168839","tvShort","Greasy Gus","Greasy Gus",0,1967,NULL,5,"Animation,Short"
"tt0168840","tvShort","The Great Escapo","The Great Escapo",0,1967,NULL,5,"Animation,Short"
"tt0168841","tvShort","Growing Pains","Growing Pains",0,1963,NULL,5,"Animation,Short"
"tt0168843","tvShort","Gypsy James","Gypsy James",0,1967,NULL,5,"Animation,Short"
"tt0168850","tvShort","A-Haunting We Will Go","A-Haunting We Will Go",0,1962,NULL,5,"Animation,Short"
"tt0168851","tvShort","Having a Hex of a Time","Having a Hex of a Time",0,1963,NULL,5,"Animation,Short"
"tt0168862","tvShort","The Hillbillies","The Hillbillies",0,1963,NULL,5,"Animation,Short"
"tt0168875","tvShort","Hugo for Mayor","Hugo for Mayor",0,1967,NULL,5,"Animation,Short"
